packet_size,connection_duration,failed_logins,requests_per_second,port_number,protocol,label
450,12,0,5,80,TCP,Normal
520,15,0,7,443,TCP,Normal
380,10,0,4,80,TCP,Normal
610,20,0,8,443,TCP,Normal
490,14,0,6,80,TCP,Normal
550,18,0,9,443,TCP,Normal
420,11,0,5,80,TCP,Normal
700,25,0,10,443,TCP,Normal
480,13,0,6,80,TCP,Normal
530,16,0,7,443,TCP,Normal
460,12,1,8,21,TCP,Normal
580,17,0,8,80,TCP,Normal
620,19,0,9,443,TCP,Normal
500,15,0,6,80,TCP,Normal
440,10,0,5,443,TCP,Normal
750,30,0,12,80,TCP,Normal
560,16,0,7,443,TCP,Normal
470,13,0,6,80,TCP,Normal
590,18,0,8,443,TCP,Normal
510,15,0,7,80,TCP,Normal
1500,2,8,120,22,TCP,Threat
1800,1,12,150,23,TCP,Threat
2200,3,15,200,21,TCP,Threat
1700,2,10,180,22,TCP,Threat
2500,1,20,250,23,TCP,Threat
1900,4,14,170,21,TCP,Threat
2800,2,25,300,22,TCP,Threat
2100,3,18,220,23,TCP,Threat
1600,2,9,160,21,TCP,Threat
2300,1,17,240,22,TCP,Threat
2000,3,13,190,23,TCP,Threat
2700,2,22,280,21,TCP,Threat
1750,1,11,155,22,TCP,Threat
2400,3,19,260,23,TCP,Threat
2900,2,27,310,21,TCP,Threat
1850,4,16,175,22,TCP,Threat
2600,1,21,270,23,TCP,Threat
1950,2,13,185,21,TCP,Threat
2250,3,17,230,22,TCP,Threat
3000,1,30,350,23,TCP,Threat
